"Súd"	"Rok"	"Agenda"	"Počet1"	"Počet2"	"Počet3"	"Počet4"	"Poťet5"
"Okresný súd Partizánske"	2012	"Erd"	5	4	"NULL"	4	3
"Okresný súd Partizánske"	2012	"Nt"	53	47	19	47	14
"Okresný súd Partizánske"	2012	"P"	682	618	687	597	239
"Okresný súd Partizánske"	2012	"Pcud"	12	11	"NULL"	11	2
"Okresný súd Partizánske"	2012	"Pd"	1	1	"NULL"	1	0
"Okresný súd Partizánske"	2012	"Po"	1	1	"NULL"	1	0
"Okresný súd Partizánske"	2012	"PPOm"	6	6	"NULL"	5	1
"Okresný súd Partizánske"	2012	"Ps"	19	29	21	28	7
"Okresný súd Partizánske"	2012	"Ro"	9550	8129	"NULL"	7907	4450
"Okresný súd Partizánske"	2012	"Rob"	1669	1623	"NULL"	1577	446
"Okresný súd Partizánske"	2012	"S"	18	25	"NULL"	18	4
"Okresný súd Partizánske"	2012	"T"	353	369	432	362	80
"Okresný súd Partizánske"	2012	"Tcud"	2	1	"NULL"	1	2
"Okresný súd Partizánske"	2012	"Td"	3	3	"NULL"	3	0
"Okresný súd Partizánske"	2012	"Tp"	156	156	"NULL"	156	1
"Okresný súd Partizánske"	2012	"U"	40	37	"NULL"	60	50
"Okresný súd Považská Bystrica"	2012	"C"	871	598	817	561	633
"Okresný súd Považská Bystrica"	2012	"Cb"	379	351	415	342	233
"Okresný súd Považská Bystrica"	2012	"Cbcud"	14	12	"NULL"	12	5
"Okresný súd Považská Bystrica"	2012	"Cbd"	3	1	"NULL"	1	1
"Okresný súd Považská Bystrica"	2012	"Ccud"	27	24	"NULL"	24	4
"Okresný súd Považská Bystrica"	2012	"Cd"	3	2	"NULL"	2	1
"Okresný súd Považská Bystrica"	2012	"Cpr"	5	3	11	3	4
"Okresný súd Považská Bystrica"	2012	"D"	1532	1584	18	1565	944
"Okresný súd Považská Bystrica"	2012	"Dcud"	8	10	"NULL"	10	0
"Okresný súd Považská Bystrica"	2012	"Dd"	2	2	"NULL"	2	0
"Okresný súd Považská Bystrica"	2012	"Ecud"	9	6	"NULL"	6	2
"Okresný súd Považská Bystrica"	2012	"Em"	6	4	"NULL"	4	3
"Okresný súd Považská Bystrica"	2012	"Er"	3634	3787	4	3787	89
"Okresný súd Považská Bystrica"	2012	"Ercud"	7	6	"NULL"	6	2
"Okresný súd Považská Bystrica"	2012	"Nt"	29	31	2	31	13
"Okresný súd Považská Bystrica"	2012	"P"	394	396	367	393	82
"Okresný súd Považská Bystrica"	2012	"Pcud"	4	5	"NULL"	5	0
"Okresný súd Považská Bystrica"	2012	"Pd"	3	2	"NULL"	2	1
"Okresný súd Považská Bystrica"	2012	"Po"	1	3	"NULL"	3	0
"Okresný súd Považská Bystrica"	2012	"PPOm"	6	6	"NULL"	6	0
"Okresný súd Považská Bystrica"	2012	"Ps"	15	18	1	18	3
"Okresný súd Považská Bystrica"	2012	"Pu"	52	52	"NULL"	52	0
"Okresný súd Považská Bystrica"	2012	"Ro"	5395	5121	"NULL"	4929	1550
"Okresný súd Považská Bystrica"	2012	"Rob"	2746	2469	"NULL"	2415	838
"Okresný súd Považská Bystrica"	2012	"T"	294	300	5	306	76
"Okresný súd Považská Bystrica"	2012	"Tcud"	3	2	"NULL"	2	1
"Okresný súd Považská Bystrica"	2012	"Td"	1	1	"NULL"	1	0
"Okresný súd Považská Bystrica"	2012	"Tp"	130	131	"NULL"	131	1
"Okresný súd Považská Bystrica"	2012	"U"	40	38	"NULL"	38	85
"Okresný súd Prievidza"	2012	"C"	1376	725	783	712	1204
"Okresný súd Prievidza"	2012	"Cb"	443	470	668	500	270
"Okresný súd Prievidza"	2012	"Cbcud"	21	23	"NULL"	23	2
"Okresný súd Prievidza"	2012	"Cbd"	4	4	"NULL"	4	0
"Okresný súd Prievidza"	2012	"Ccud"	51	56	"NULL"	56	6
"Okresný súd Prievidza"	2012	"Cd"	4	4	"NULL"	4	1
"Okresný súd Prievidza"	2012	"Cpr"	14	6	14	5	14
"Okresný súd Prievidza"	2012	"D"	2107	601	"NULL"	2161	1188
"Okresný súd Prievidza"	2012	"Dcud"	4	3	"NULL"	3	1
"Okresný súd Prievidza"	2012	"Dd"	4	4	"NULL"	4	0
"Okresný súd Prievidza"	2012	"Ecud"	8	8	"NULL"	8	2
"Okresný súd Prievidza"	2012	"Em"	6	8	"NULL"	9	11
"Okresný súd Prievidza"	2012	"Er"	6642	6350	"NULL"	6350	628
"Okresný súd Prievidza"	2012	"Nt"	19	16	"NULL"	16	11
"Okresný súd Prievidza"	2012	"P"	514	529	634	497	211
"Okresný súd Prievidza"	2012	"Pcud"	11	12	"NULL"	12	1
"Okresný súd Prievidza"	2012	"Pd"	6	6	"NULL"	6	2
"Okresný súd Prievidza"	2012	"Po"	8	9	"NULL"	9	1
"Okresný súd Prievidza"	2012	"PPOm"	4	4	"NULL"	4	0
"Okresný súd Prievidza"	2012	"Ps"	13	16	18	17	6
"Okresný súd Prievidza"	2012	"Pu"	10	10	"NULL"	9	2
"Okresný súd Prievidza"	2012	"Ro"	7613	7398	"NULL"	7632	3543
"Okresný súd Prievidza"	2012	"Rob"	1103	998	"NULL"	962	359
"Okresný súd Prievidza"	2012	"S"	7	4	"NULL"	3	5
"Okresný súd Prievidza"	2012	"T"	319	325	1	325	126
"Okresný súd Prievidza"	2012	"Tcud"	1	1	"NULL"	1	0
"Okresný súd Prievidza"	2012	"Td"	1	1	"NULL"	1	0
"Okresný súd Prievidza"	2012	"Tp"	167	165	"NULL"	165	3
"Okresný súd Prievidza"	2012	"U"	84	78	"NULL"	78	318
"Okresný súd Prievidza"	2012	"UL"	1	3	"NULL"	3	0
"Krajský súd Nitra"	2012	"C"	1	1	"NULL"	1	"NULL"
"Krajský súd Nitra"	2012	"Cb"	"NULL"	"NULL"	1	"NULL"	5
"Krajský súd Nitra"	2012	"Co"	106	98	28	98	24
"Krajský súd Nitra"	2012	"Cob"	96	92	30	92	12
"Krajský súd Nitra"	2012	"CoD"	4	4	"NULL"	4	"NULL"
"Krajský súd Nitra"	2012	"CoE"	103	97	"NULL"	97	14
"Krajský súd Nitra"	2012	"CoKR"	1	2	1	2	"NULL"
"Krajský súd Nitra"	2012	"CoP"	22	21	5	21	2
"Krajský súd Nitra"	2012	"CoPr"	1	1	"NULL"	1	"NULL"
"Krajský súd Nitra"	2012	"CoZm"	3	3	1	3	1
"Krajský súd Nitra"	2012	"Ncb"	2	2	"NULL"	2	"NULL"
"Krajský súd Nitra"	2012	"NcC"	327	327	"NULL"	327	"NULL"
"Krajský súd Nitra"	2012	"Ntc"	7	7	"NULL"	7	2
"Krajský súd Nitra"	2012	"Nto"	4	4	"NULL"	4	"NULL"
"Krajský súd Nitra"	2012	"Ntok"	1	"NULL"	"NULL"	"NULL"	1
"Krajský súd Nitra"	2012	"Ntt"	10	10	"NULL"	10	"NULL"
"Krajský súd Nitra"	2012	"S"	60	49	39	42	85
"Krajský súd Nitra"	2012	"Sd"	132	135	136	132	41
"Krajský súd Nitra"	2012	"So"	1	1	"NULL"	1	"NULL"
"Krajský súd Nitra"	2012	"Sp"	47	44	13	44	12
"Krajský súd Nitra"	2012	"T"	"NULL"	"NULL"	"NULL"	"NULL"	1
"Krajský súd Nitra"	2012	"To"	44	44	"NULL"	44	6
"Krajský súd Nitra"	2012	"Tos"	45	44	"NULL"	44	1
"Krajský súd Nitra"	2012	"Tpo"	20	20	"NULL"	20	"NULL"
"Okresný súd Nitra"	2012	"C"	1245	1064	1451	1021	896
"Okresný súd Nitra"	2012	"Cb"	340	334	503	318	336
"Okresný súd Nitra"	2012	"Cbcud"	19	17	"NULL"	17	4
"Okresný súd Nitra"	2012	"Cbd"	6	6	"NULL"	6	1
"Okresný súd Nitra"	2012	"Cbi"	23	18	40	19	2
"Okresný súd Nitra"	2012	"CbR"	305	259	"NULL"	259	308
"Okresný súd Nitra"	2012	"CbZm"	19	20	33	20	29
"Okresný súd Nitra"	2012	"Ccud"	44	39	"NULL"	39	10
"Okresný súd Nitra"	2012	"Cd"	14	14	"NULL"	14	6
"Okresný súd Nitra"	2012	"Cpr"	17	11	29	7	15
"Okresný súd Nitra"	2012	"D"	939	946	"NULL"	905	529
"Okresný súd Nitra"	2012	"Dcud"	1	1	"NULL"	1	0
"Okresný súd Nitra"	2012	"Dd"	20	22	"NULL"	22	12
"Okresný súd Nitra"	2012	"E"	9	5	"NULL"	5	44
"Okresný súd Nitra"	2012	"Ecud"	8	7	"NULL"	7	2
"Okresný súd Nitra"	2012	"Ed"	3	2	"NULL"	2	5
"Okresný súd Nitra"	2012	"Er"	10238	9913	"NULL"	9913	663
"Okresný súd Nitra"	2012	"Erd"	1	0	"NULL"	0	2
"Okresný súd Nitra"	2012	"Exre"	1137	1208	"NULL"	1261	400
"Okresný súd Nitra"	2012	"K"	117	122	33	122	9
"Okresný súd Nitra"	2012	"NcKR"	19	6	11	6	35
"Okresný súd Nitra"	2012	"Nsre"	380	385	"NULL"	385	7
"Okresný súd Nitra"	2012	"Nt"	25	26	"NULL"	26	6
"Okresný súd Nitra"	2012	"Ntt"	41	41	"NULL"	41	1
"Okresný súd Nitra"	2012	"P"	506	516	777	509	204
"Okresný súd Nitra"	2012	"Pcud"	5	5	1	5	1
"Okresný súd Nitra"	2012	"Pd"	16	16	"NULL"	16	0
"Okresný súd Nitra"	2012	"Po"	3	3	"NULL"	3	1
"Okresný súd Nitra"	2012	"Pp"	39	39	"NULL"	39	6
"Okresný súd Nitra"	2012	"PPOm"	4	3	"NULL"	3	1
"Okresný súd Nitra"	2012	"Ps"	15	16	24	16	10
"Okresný súd Nitra"	2012	"Pu"	7	7	"NULL"	8	3
"Okresný súd Nitra"	2012	"R"	4	4	"NULL"	4	0
"Okresný súd Nitra"	2012	"Ro"	7411	5851	"NULL"	4751	5818
"Okresný súd Nitra"	2012	"Rob"	4303	5038	"NULL"	5441	1447
"Okresný súd Nitra"	2012	"S"	5	7	"NULL"	7	2
"Okresný súd Nitra"	2012	"T"	140	167	"NULL"	146	68
"Okresný súd Nitra"	2012	"Tcud"	1	1	"NULL"	1	0
"Okresný súd Nitra"	2012	"Td"	3	3	"NULL"	3	1
"Okresný súd Nitra"	2012	"Tp"	53	54	"NULL"	54	0
"Okresný súd Nitra"	2012	"U"	58	37	"NULL"	37	140
"Okresný súd Nitra"	2012	"Zm"	133	123	"NULL"	124	103
"Okresný súd Komárno"	2012	"C"	2149	1666	1146	1559	1318
"Okresný súd Komárno"	2012	"Cb"	467	530	852	514	263
"Okresný súd Komárno"	2012	"Cbcud"	17	17	"NULL"	5	5
"Okresný súd Komárno"	2012	"Cbd"	5	5	"NULL"	5	0
"Okresný súd Komárno"	2012	"Ccud"	37	35	"NULL"	35	8
"Okresný súd Komárno"	2012	"Cd"	3	4	"NULL"	4	2
"Okresný súd Komárno"	2012	"Cpr"	13	14	19	13	9
"Okresný súd Komárno"	2012	"D"	2819	2779	"NULL"	2864	1407
"Okresný súd Komárno"	2012	"Dcud"	7	3	"NULL"	3	7
"Okresný súd Komárno"	2012	"Ecud"	6	6	"NULL"	6	1
"Okresný súd Komárno"	2012	"Em"	11	7	"NULL"	6	8
"Okresný súd Komárno"	2012	"Er"	10284	9665	"NULL"	9665	1485
"Okresný súd Komárno"	2012	"Ercud"	1	0	"NULL"	0	0
"Okresný súd Komárno"	2012	"Nt"	19	17	5	17	13
"Okresný súd Komárno"	2012	"P"	662	683	877	686	201
"Okresný súd Komárno"	2012	"Pcud"	1	1	"NULL"	1	0
"Okresný súd Komárno"	2012	"Pd"	11	8	"NULL"	8	3
"Okresný súd Komárno"	2012	"Po"	49	47	"NULL"	47	13
"Okresný súd Komárno"	2012	"PPOm"	5	4	"NULL"	4	1
"Okresný súd Komárno"	2012	"Ps"	17	23	23	23	11
"Okresný súd Komárno"	2012	"Ro"	10152	8685	"NULL"	7593	5387
"Okresný súd Komárno"	2012	"Rob"	2614	2776	"NULL"	2969	855
"Okresný súd Komárno"	2012	"S"	2	3	"NULL"	4	0
"Okresný súd Komárno"	2012	"T"	154	186	"NULL"	173	81
"Okresný súd Komárno"	2012	"Tcud"	1	0	"NULL"	0	1
"Okresný súd Komárno"	2012	"Tp"	93	104	"NULL"	95	9
"Okresný súd Komárno"	2012	"U"	88	33	"NULL"	33	253
"Okresný súd Levice"	2012	"C"	3415	2608	1812	2615	2148
"Okresný súd Levice"	2012	"Cb"	194	210	354	229	221
"Okresný súd Levice"	2012	"Cbcud"	2	2	"NULL"	2	0
"Okresný súd Levice"	2012	"Cbd"	2	1	"NULL"	1	1
"Okresný súd Levice"	2012	"Ccud"	73	88	"NULL"	88	14
"Okresný súd Levice"	2012	"Cd"	18	17	"NULL"	17	4
"Okresný súd Levice"	2012	"Cpr"	16	3	11	6	14
"Okresný súd Levice"	2012	"D"	1353	1285	"NULL"	1279	700
"Okresný súd Levice"	2012	"Dcud"	5	7	"NULL"	7	2
"Okresný súd Levice"	2012	"Dd"	184	179	"NULL"	179	18
"Okresný súd Levice"	2012	"Ecud"	4	0	"NULL"	0	4
"Okresný súd Levice"	2012	"Em"	6	3	"NULL"	4	6
"Okresný súd Levice"	2012	"Er"	6129	6142	"NULL"	6142	269
"Okresný súd Levice"	2012	"Ercud"	1	0	"NULL"	0	0
"Okresný súd Levice"	2012	"Erd"	2	3	"NULL"	3	1
"Okresný súd Levice"	2012	"Nt"	96	92	15	91	12
"Okresný súd Levice"	2012	"P"	765	700	904	679	369
"Okresný súd Levice"	2012	"Pcud"	7	5	"NULL"	5	3
"Okresný súd Levice"	2012	"Pd"	27	26	"NULL"	26	6
"Okresný súd Levice"	2012	"Po"	24	24	"NULL"	24	4
"Okresný súd Levice"	2012	"Pp"	56	54	8	55	11
"Okresný súd Levice"	2012	"PPOm"	6	6	"NULL"	6	1
"Okresný súd Levice"	2012	"Ps"	12	13	12	13	7
"Okresný súd Levice"	2012	"Pu"	13	13	1	12	3
"Okresný súd Levice"	2012	"Ro"	7627	6381	"NULL"	6088	3663
"Okresný súd Levice"	2012	"Rob"	1934	1793	"NULL"	1673	683
"Okresný súd Levice"	2012	"S"	4	2	6	2	6
"Okresný súd Levice"	2012	"T"	228	231	22	231	53
"Okresný súd Levice"	2012	"Tcud"	1	2	"NULL"	2	0
"Okresný súd Levice"	2012	"Td"	5	5	"NULL"	5	0
"Okresný súd Levice"	2012	"Tp"	93	94	"NULL"	94	8
"Okresný súd Levice"	2012	"U"	67	88	"NULL"	88	125
"Okresný súd Nové Zámky"	2012	"C"	1480	1172	1057	1040	902
"Okresný súd Nové Zámky"	2012	"Cb"	785	859	921	800	247
"Okresný súd Nové Zámky"	2012	"Cbcud"	5	5	"NULL"	5	0
"Okresný súd Nové Zámky"	2012	"Cbd"	1	0	"NULL"	0	1
"Okresný súd Nové Zámky"	2012	"Ccud"	38	44	"NULL"	44	11
"Okresný súd Nové Zámky"	2012	"Cd"	6	12	"NULL"	12	0
"Okresný súd Nové Zámky"	2012	"Cpr"	7	5	7	3	7
"Okresný súd Nové Zámky"	2012	"D"	1212	1150	"NULL"	1189	697
"Okresný súd Nové Zámky"	2012	"Dcud"	1	0	"NULL"	0	1
"Okresný súd Nové Zámky"	2012	"Dd"	3	3	"NULL"	3	17
"Okresný súd Nové Zámky"	2012	"Ed"	0	1	"NULL"	1	0
"Okresný súd Nové Zámky"	2012	"Em"	4	3	"NULL"	1	4
"Okresný súd Nové Zámky"	2012	"Er"	6195	6236	"NULL"	6236	620
"Okresný súd Nové Zámky"	2012	"Erd"	23	16	"NULL"	16	8
"Okresný súd Nové Zámky"	2012	"Nt"	13	13	5	13	6
"Okresný súd Nové Zámky"	2012	"P"	538	510	682	486	191
"Okresný súd Nové Zámky"	2012	"Pcud"	1	1	"NULL"	1	0
"Okresný súd Nové Zámky"	2012	"Pd"	3	3	1	3	0
"Okresný súd Nové Zámky"	2012	"Po"	7	9	"NULL"	9	2
"Okresný súd Nové Zámky"	2012	"PPOm"	9	8	12	8	3
"Okresný súd Nové Zámky"	2012	"Ps"	19	21	24	21	4
"Okresný súd Nové Zámky"	2012	"Ro"	4696	3829	"NULL"	3531	4145
"Okresný súd Nové Zámky"	2012	"Rob"	2100	2243	"NULL"	2320	393
"Okresný súd Nové Zámky"	2012	"S"	5	5	"NULL"	5	0
"Okresný súd Nové Zámky"	2012	"T"	259	302	209	262	58
"Okresný súd Nové Zámky"	2012	"Tcud"	2	2	"NULL"	2	0
"Okresný súd Nové Zámky"	2012	"Td"	1	1	"NULL"	1	0
"Okresný súd Nové Zámky"	2012	"Tp"	91	91	"NULL"	91	0
"Okresný súd Nové Zámky"	2012	"U"	57	34	"NULL"	34	160
"Okresný súd Topoľčany"	2012	"C"	1687	1228	1138	1145	779
"Okresný súd Topoľčany"	2012	"Cb"	265	252	477	258	183
"Okresný súd Topoľčany"	2012	"Cbcud"	3	3	"NULL"	3	0
"Okresný súd Topoľčany"	2012	"Cbd"	5	7	"NULL"	7	0
"Okresný súd Topoľčany"	2012	"Ccud"	30	34	"NULL"	34	3
"Okresný súd Topoľčany"	2012	"Cd"	6	6	"NULL"	6	1
"Okresný súd Topoľčany"	2012	"Cpr"	14	17	31	16	4
"Okresný súd Topoľčany"	2012	"D"	1609	1481	"NULL"	1466	656
"Okresný súd Topoľčany"	2012	"Dcud"	1	1	"NULL"	1	0
"Okresný súd Topoľčany"	2012	"Dd"	1	2	"NULL"	2	0
"Okresný súd Topoľčany"	2012	"Em"	4	4	"NULL"	5	2
"Okresný súd Topoľčany"	2012	"Er"	3787	3623	"NULL"	3623	256
"Okresný súd Topoľčany"	2012	"Ercud"	1	1	"NULL"	1	0
"Okresný súd Topoľčany"	2012	"Nt"	10	11	"NULL"	11	1
"Okresný súd Topoľčany"	2012	"P"	730	759	1029	730	211
"Okresný súd Topoľčany"	2012	"Pcud"	3	3	"NULL"	3	0
"Okresný súd Topoľčany"	2012	"Pd"	2	2	"NULL"	2	1
"Okresný súd Topoľčany"	2012	"Po"	1	1	"NULL"	1	1
"Okresný súd Topoľčany"	2012	"PPOm"	11	11	"NULL"	11	0
"Okresný súd Topoľčany"	2012	"Ps"	24	24	46	24	15
"Okresný súd Topoľčany"	2012	"Ro"	7600	7783	"NULL"	8370	1580
"Okresný súd Topoľčany"	2012	"Rob"	2130	2125	"NULL"	2230	380
"Okresný súd Topoľčany"	2012	"S"	2	1	"NULL"	1	1
"Okresný súd Topoľčany"	2012	"T"	151	154	20	160	63
"Okresný súd Topoľčany"	2012	"Tp"	83	83	"NULL"	83	0
"Okresný súd Topoľčany"	2012	"U"	93	81	"NULL"	81	20
"Krajský súd Žilina"	2012	"Cb"	"NULL"	1	1	1	5
"Krajský súd Žilina"	2012	"Co"	147	145	13	145	36
"Krajský súd Žilina"	2012	"Cob"	153	165	4	165	57
"Krajský súd Žilina"	2012	"CoD"	8	9	"NULL"	9	1
"Krajský súd Žilina"	2012	"CoE"	97	76	"NULL"	76	27
"Krajský súd Žilina"	2012	"CoKR"	8	5	"NULL"	5	3
"Krajský súd Žilina"	2012	"CoP"	40	38	3	38	5
"Krajský súd Žilina"	2012	"CoPr"	1	1	"NULL"	1	"NULL"
"Krajský súd Žilina"	2012	"CoZm"	7	5	"NULL"	5	3
"Krajský súd Žilina"	2012	"Ncb"	5	5	"NULL"	5	"NULL"
"Krajský súd Žilina"	2012	"NcC"	31	24	"NULL"	24	8
"Krajský súd Žilina"	2012	"NcCb"	1	1	"NULL"	1	"NULL"
"Krajský súd Žilina"	2012	"Ntc"	3	3	"NULL"	3	1
"Krajský súd Žilina"	2012	"Nto"	6	5	"NULL"	5	"NULL"
"Krajský súd Žilina"	2012	"Ntt"	5	5	"NULL"	5	"NULL"
"Krajský súd Žilina"	2012	"S"	45	87	22	82	49
"Krajský súd Žilina"	2012	"Scud"	1	"NULL"	"NULL"	"NULL"	1
"Krajský súd Žilina"	2012	"Sd"	105	92	80	90	46
"Krajský súd Žilina"	2012	"So"	1	1	"NULL"	1	"NULL"
"Krajský súd Žilina"	2012	"Sp"	15	17	11	12	13
"Krajský súd Žilina"	2012	"T"	"NULL"	1	4	1	2
"Krajský súd Žilina"	2012	"To"	52	51	50	51	8
"Krajský súd Žilina"	2012	"Tos"	55	55	51	55	2
"Krajský súd Žilina"	2012	"Tpo"	19	19	2	19	"NULL"
"Okresný súd Žilina"	2012	"C"	801	607	768	552	931
"Okresný súd Žilina"	2012	"Cb"	222	265	248	251	296
"Okresný súd Žilina"	2012	"Cbcud"	6	7	"NULL"	7	1
"Okresný súd Žilina"	2012	"Cbd"	3	8	1	8	1
"Okresný súd Žilina"	2012	"Cbi"	39	44	48	33	87
"Okresný súd Žilina"	2012	"CbR"	95	117	"NULL"	121	88
"Okresný súd Žilina"	2012	"CbZm"	7	9	14	7	16
"Okresný súd Žilina"	2012	"Ccud"	23	23	"NULL"	23	3
"Okresný súd Žilina"	2012	"Cd"	7	8	"NULL"	8	1
"Okresný súd Žilina"	2012	"Cpr"	7	4	9	2	9
"Okresný súd Žilina"	2012	"D"	791	805	"NULL"	803	615
"Okresný súd Žilina"	2012	"Dcud"	1	1	"NULL"	1	1
"Okresný súd Žilina"	2012	"Dd"	1	1	"NULL"	1	0
"Okresný súd Žilina"	2012	"E"	0	0	"NULL"	52	25
"Okresný súd Žilina"	2012	"Em"	10	7	4	7	13
"Okresný súd Žilina"	2012	"Er"	9146	8554	"NULL"	8554	1578
"Okresný súd Žilina"	2012	"Ercud"	1	1	"NULL"	1	1
"Okresný súd Žilina"	2012	"Erd"	3	5	"NULL"	5	4
"Okresný súd Žilina"	2012	"Exre"	511	545	"NULL"	537	95
"Okresný súd Žilina"	2012	"K"	152	81	81	148	61
"Okresný súd Žilina"	2012	"NcKR"	32	5	14	7	82
"Okresný súd Žilina"	2012	"Nsre"	165	165	"NULL"	178	23
"Okresný súd Žilina"	2012	"Nt"	17	17	"NULL"	30	10
"Okresný súd Žilina"	2012	"Ntt"	20	20	"NULL"	20	0
"Okresný súd Žilina"	2012	"P"	1112	911	789	908	825
"Okresný súd Žilina"	2012	"Pcud"	8	3	"NULL"	3	5
"Okresný súd Žilina"	2012	"Pd"	10	10	"NULL"	10	1
"Okresný súd Žilina"	2012	"Po"	6	5	"NULL"	5	1
"Okresný súd Žilina"	2012	"Pp"	17	18	"NULL"	18	1
"Okresný súd Žilina"	2012	"PPOm"	4	3	"NULL"	3	1
"Okresný súd Žilina"	2012	"Ps"	28	26	19	29	19
"Okresný súd Žilina"	2012	"Pu"	42	42	"NULL"	48	3
"Okresný súd Žilina"	2012	"R"	8	5	"NULL"	12	0
"Okresný súd Žilina"	2012	"S"	8	9	"NULL"	9	1
"Okresný súd Žilina"	2012	"T"	189	223	28	192	84
"Okresný súd Žilina"	2012	"Tcud"	1	3	"NULL"	3	0
"Okresný súd Žilina"	2012	"Td"	4	5	"NULL"	5	1
"Okresný súd Žilina"	2012	"Tp"	93	93	"NULL"	93	0
"Okresný súd Žilina"	2012	"U"	6	10	"NULL"	14	93
"Okresný súd Žilina"	2012	"UL"	0	1	"NULL"	1	0
"Okresný súd Žilina"	2012	"Zm"	63	105	"NULL"	109	51
"Okresný súd Čadca"	2012	"C"	4108	2806	2238	2602	4358
"Okresný súd Čadca"	2012	"Cb"	582	600	867	669	543
"Okresný súd Čadca"	2012	"Cbd"	0	6	"NULL"	6	0
"Okresný súd Čadca"	2012	"Ccud"	144	108	"NULL"	108	84
"Okresný súd Čadca"	2012	"Cd"	18	22	8	22	2
"Okresný súd Čadca"	2012	"Cpr"	52	36	32	22	40
"Okresný súd Čadca"	2012	"D"	729	773	"NULL"	770	0
"Okresný súd Čadca"	2012	"Dcud"	3	4	"NULL"	4	2
"Okresný súd Čadca"	2012	"Dd"	8	9	"NULL"	9	2
"Okresný súd Čadca"	2012	"Ecud"	8	9	"NULL"	9	2
"Okresný súd Čadca"	2012	"Em"	2	2	"NULL"	2	6
"Okresný súd Čadca"	2012	"Er"	5430	2205	29	5073	992
"Okresný súd Čadca"	2012	"Ercud"	2	0	"NULL"	0	2
"Okresný súd Čadca"	2012	"Nt"	19	23	5	24	8
"Okresný súd Čadca"	2012	"P"	1301	1176	1325	1089	719
"Okresný súd Čadca"	2012	"Pcud"	14	15	"NULL"	15	6
"Okresný súd Čadca"	2012	"Pd"	3	6	1	6	2
"Okresný súd Čadca"	2012	"Po"	3	5	"NULL"	5	8
"Okresný súd Čadca"	2012	"PPOm"	15	15	"NULL"	15	3
"Okresný súd Čadca"	2012	"Ps"	33	27	25	26	29
"Okresný súd Čadca"	2012	"Ro"	4026	4212	"NULL"	3900	1440
"Okresný súd Čadca"	2012	"Rob"	3120	3084	"NULL"	2724	1146
"Okresný súd Čadca"	2012	"S"	0	1	"NULL"	1	0
"Okresný súd Čadca"	2012	"T"	272	350	80	316	142
"Okresný súd Čadca"	2012	"Tcud"	1	2	"NULL"	2	0
"Okresný súd Čadca"	2012	"Td"	0	1	"NULL"	1	0
"Okresný súd Čadca"	2012	"Tp"	89	62	"NULL"	92	2
"Okresný súd Čadca"	2012	"U"	4	2	"NULL"	2	82
"Okresný súd Čadca"	2012	"UL"	0	2	"NULL"	2	0
"Okresný súd Dolný Kubín"	2012	"C"	753	629	831	578	635
"Okresný súd Dolný Kubín"	2012	"Cb"	137	160	169	151	86
"Okresný súd Dolný Kubín"	2012	"Cbcud"	3	3	"NULL"	3	0
"Okresný súd Dolný Kubín"	2012	"Cbd"	0	1	"NULL"	1	0
"Okresný súd Dolný Kubín"	2012	"Ccud"	50	50	"NULL"	50	4
"Okresný súd Dolný Kubín"	2012	"Cd"	24	24	"NULL"	24	1
"Okresný súd Dolný Kubín"	2012	"Cpr"	4	4	"NULL"	5	1
"Okresný súd Dolný Kubín"	2012	"D"	636	648	4	645	258
"Okresný súd Dolný Kubín"	2012	"Dcud"	3	3	"NULL"	3	0
"Okresný súd Dolný Kubín"	2012	"Dd"	228	219	"NULL"	219	14
"Okresný súd Dolný Kubín"	2012	"E"	"NULL"	"NULL"	2	"NULL"	"NULL"
"Okresný súd Dolný Kubín"	2012	"Em"	4	8	"NULL"	7	2
"Okresný súd Dolný Kubín"	2012	"Er"	3744	3436	"NULL"	3436	326
"Okresný súd Dolný Kubín"	2012	"Ercud"	2	1	"NULL"	1	1
"Okresný súd Dolný Kubín"	2012	"Erd"	7	7	"NULL"	7	1
"Okresný súd Dolný Kubín"	2012	"Nt"	23	25	7	23	6
"Okresný súd Dolný Kubín"	2012	"P"	358	385	427	363	129
"Okresný súd Dolný Kubín"	2012	"Pcud"	2	2	"NULL"	2	0
"Okresný súd Dolný Kubín"	2012	"Pd"	26	26	"NULL"	26	0
"Okresný súd Dolný Kubín"	2012	"Po"	2	2	"NULL"	2	1
"Okresný súd Dolný Kubín"	2012	"PPOm"	1	1	"NULL"	1	0
"Okresný súd Dolný Kubín"	2012	"Ps"	15	21	22	17	9
"Okresný súd Dolný Kubín"	2012	"Ro"	3000	3048	"NULL"	3048	452
"Okresný súd Dolný Kubín"	2012	"Rob"	1043	1070	"NULL"	1135	191
"Okresný súd Dolný Kubín"	2012	"S"	2	0	"NULL"	0	2
"Okresný súd Dolný Kubín"	2012	"T"	153	179	70	165	67
"Okresný súd Dolný Kubín"	2012	"Tcud"	2	2	"NULL"	2	0
"Okresný súd Dolný Kubín"	2012	"Td"	2	1	"NULL"	1	1
"Okresný súd Dolný Kubín"	2012	"Tp"	43	43	"NULL"	43	1
"Okresný súd Dolný Kubín"	2012	"U"	3	10	"NULL"	10	43
"Okresný súd Liptovský Mikuláš"	2012	"C"	1398	960	1307	924	1204
"Okresný súd Liptovský Mikuláš"	2012	"Cb"	524	528	568	578	354
"Okresný súd Liptovský Mikuláš"	2012	"Cbcud"	10	12	"NULL"	12	4
