súd	rok	čiastka
Krajský súd v Bratislave	2011	29700
Okresný súd Bratislava I	2011	103150
Okresný súd Bratislava II	2011	41200
Okresný súd Bratislava III	2011	15500
Okresný súd Bratislava IV	2011	39820
Okresný súd Bratislava V	2011	0
Okresný súd Malacky	2011	0
Okresný súd Pezinok	2011	6500
Krajský súd v Trnave	2011	2000
Okresný súd Trnava	2011	41100
Okresný súd Dunajská Streda	2011	5100
Okresný súd Galanta	2011	6000
Okresný súd Senica	2011	25000
Okresný súd Piešťany	2011	32800
Okresný súd Skalica	2011	24000
Krajský súd v Nitre	2011	4000
Okresný súd Nitra	2011	3500
Okresný súd Komárno	2011	0
Okresný súd Levice	2011	16500
Okresný súd Nové Zámky	2011	0
Okresný súd Topoľčany	2011	1000
Krajský súd v Trenčíne	2011	13000
Okresný súd Trenčín	2011	13000
Okresný súd Bánovce nad Bebravou	2011	500
Okresný súd Nové Mesto nad Váhom	2011	0
Okresný súd Partizánske	2011	0
Okresný súd Považská Bystrica	2011	6000
Okresný súd Prievidza	2011	0
Krajský súd v Žiline	2011	0
Okresný súd Žilina	2011	15300
Okresný súd Čadca	2011	54500
Okresný súd Dolný Kubín	2011	55300
Okresný súd Liptovský Mikuláš	2011	0
Okresný súd Martin	2011	9000
Okresný súd Námestovo	2011	1500
Okresný súd Ružomberok	2011	1000
Krajský súd v Banskej Bystrici	2011	0
Okresný súd Banská Bystrica	2011	3000
Okresný súd Brezno	2011	3500
Okresný súd Lučenec	2011	2000
Okresný súd Revúca	2011	1500
Okresný súd Rimavská Sobota	2011	0
Okresný súd Veľký Krtíš	2011	0
Okresný súd Zvolen	2011	0
Okresný súd Žiar nad  Hronom	2011	0
Krajský súd v Prešove	2011	2500
Okresný súd Prešov	2011	12500
Okresný súd Bardejov	2011	8000
Okresný súd Humenné	2011	3000
Okresný súd Kežmarok	2011	4100
Okresný súd Poprad	2011	3300
Okresný súd Stará Ľubovňa	2011	0
Okresný súd Svidník	2011	0
Okresný súd Vranov nad Topľou	2011	0
Krajský súd v Košiciach	2011	15000
Okresný súd Košice I	2011	17500
Okresný súd Košice II	2011	33400
Okresný súd Košice - okolie	2011	72496
Okresný súd Michalovce	2011	7000
Okresný súd Rožňava	2011	0
Okresný súd Spišská Nová Ves	2011	0
Okresný súd Trebišov	2011	0
