category	subcategory	abbreviation	description	note
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Tošs 	sťažnosti proti rozhodnutiam Špecializovaného trestného súdu. 	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Tdo 	dovolania	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Tdoš 	dovolania v agende Špecializovaného trestného súdu	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	TdoV 	dovolania proti rozhodnutiam senátov Najvyššieho súdu SR rozhodujúcich o riadnom opravnom prostriedku	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	TdoVš 	dovolania v agende Špecializovaného trestného súdu	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Urto 	odvolania proti rozhodnutiam krajských súdov o uznaniach cudzozemských rozhodnutí.	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Ntv 	veci, v ktorých je podaný návrh na predĺženie lehoty trvania väzby	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Ntvš 	veci, v ktorých je podaný návrh na predĺženie lehoty trvania väzbyvo veciach spadajúcich do kompetencie Špecializovaného trestného súdu. 	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Ndt 	spory o príslušnosť medzi súdmi nižších stupňov, návrhy na vylúčenie sudcov KS a NS a návrhy GP o nepripustení poškodených	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Ndtš 	spory o príslušnosť v agende Špecializovaného trestného súdu, návrhy GP o nepripustení poškodených a návrhy na vylúčenie sudcov ŠTS	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	TošNd 	návrhy na vylúčenie sudcov Najvyššieho súdu SR rozhodujúcich v agende Toš. 	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Tdošd 	návrhy na vylúčenie sudcov Najvyššieho súdu SR rozhodujúcich v agende Tdoš. 	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Tor 	trestné veci o sťažnostiach, odvolania a námietkach	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Tpj 	predkladanie podkladov za účelom prijatia ďalších opatrení	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Nt 	podania a ostatné písomnosti, ktoré svojim obsahom nepatria do iného registra, vrátane podaní nezrozumiteľných. 	
NAJVYŠŠÍ SÚD SLOVENSKEJ REPUBLIKY	Trestnoprávna agenda (To, Tost, Toš, Tošs, Tdo, Tdoš, TdoV, TdoVš, Urto, Ntv, Ntvš, Ndt, Ndtš, TošNd, Tdošd, Tor, Tpj, Nt, Nts)	Nts 	vlastné veci predsedu trestnoprávneho kolégia, bežná korešpondencia, opatrenia a ďalšie veci, ktoré sa nezapisujú do iného registra.	
