name	date	type
Adriana Považanová 	22.01.2008
Dušan Ďurian 	22.01.2008
Mária Vrtochová 	22.01.2008
Radoslav Svitana 	22.01.2008
Marián Mačura 	22.01.2008
Anna Križáková 	04.09.2007
Mária Husárová 	04.09.2007
Lucia Fulmeková 	04.09.2007
Blažena Stašíková 	04.09.2007
Andrea Zolotová 	04.09.2007
Marcel Kirnág 	04.09.2007
Michaela Frimmelová 	04.09.2007
Mária Kašíková 	04.09.2007
Lucia Chrapková 	04.09.2007
Lenka Kováčová 	26.06.2007
Monika Farkašová 	26.06.2007
Marína Kučerová 	26.06.2007
Miroslav Baňacký 	26.06.2007
Eliška Wagshalová 	26.06.2007
Lucia Bašistová 	26.06.2007
Ivo Maruščák 	26.06.2007
Ondrej Kekeňák 	26.06.2007
Gabriela Kyseľová 	26.06.2007
Richard Golis 	26.06.2007
Branislav Klukoš 	26.06.2007
Emil Dubňanský 	26.06.2007
Marcela Dolníková Žabková 	26.06.2007
Monika Koščová 	17.01.2007
Roman Reištetter 	17.01.2007
Silvia Šviderská 	17.01.2007
Martin Holič 	17.01.2007
Robert Šorl 	17.01.2007
Marián Rošak 	17.01.2007
Andrej Kekely 	17.01.2007
Juraj Šteffel 	17.01.2007
Libor Kysucký 	17.01.2007
Daniela Drnáková 	17.01.2007
Zuzana Moťovská Dobošová 	15.06.2006
Marcela Malatká 	15.06.2006
Mario Dubaň 	15.06.2006
Erik Varga 	15.06.2006
Denisa Mičeková 	15.06.2006
Ján Šmrhola 	15.06.2006
Beáta Gešvantnerová 	15.06.2006
Anna Frigová 	15.06.2006
Marián Manduch 	15.06.2006
Katarína Šimková 	15.06.2006
Noema Turanovičová 	15.06.2006
Miriam Štillová 	15.06.2006
Monika Kurjaková 	15.06.2006
Kristína Ferencziová 	15.06.2006
Karol Posluch 	15.06.2006
Katarína Škrovanová 	15.06.2006
Július Tóth 	15.06.2006
Patrícia Miskolczyová 	15.06.2006
Štefan Tomáš 	15.06.2006
Martina Zeleňaková 	15.06.2006
Rastislav Dlugoš 	15.06.2006
Vladimír Monok 	31.03.2006
Katarína Šťastná 	31.03.2006
Eva Kajabová 	31.03.2006
Ján Moncoľ 	31.03.2006
Zuzana Moťovská Dobošová 	31.03.2006
Daša Onuferová 	31.03.2006
Zoltán Boros 	31.03.2006
Jarmila Centková 	31.03.2006
Andrea Gazdagová 	31.03.2006
Pavol Naď 	31.03.2006
Oľga Mravćáková 	29.11.2005
Daniel Ilavský 	29.11.2005
Peter Šuťak 	29.11.2005
Nina Kollárová 	29.11.2005
Gabriela Panáková 	29.11.2005
Zlatica Potúčková 	29.11.2005
Martin Žovinec 	29.11.2005
Lýdia Lučivjanská 	29.11.2005
Anna Miháliková 	29.11.2005
Richard Bejda 	29.11.2005
Roman Hargaš 	29.11.2005
Marianna Hosťovecká 	29.11.2005
Antónia Kandravá 	29.11.2005
Pavel Varga 	29.11.2005
Adriana Szaniszlová 	29.11.2005
Veronika Húšťová 	29.11.2005
Miriam Penjaková 	29.11.2005
Michaela Krajčová 	29.11.2005
Daniela Kotrecová 	29.11.2005
Gabriela Buľubašová 	20.06.2005
Otília Doláková 	20.06.2005
Ivana Dančová 	20.06.2005
Martina Balegová 	20.06.2005
Igor Malý 	20.06.2005
Lenka Protznerová 	20.06.2005
Milan Mitterpák 	20.06.2005
Stanislav Sojka 	20.06.2005
Dušan Chamula 	20.06.2005
Peter Revák 	20.06.2005
Slávka Garančovská 	20.06.2005
Rastislav Jakubovič 	20.06.2005
Viera Kvetková 	20.06.2005
Eva Vékonyová 	20.06.2005
Monika Sitáriková 	20.06.2005
Zuzana Bezáková 	20.06.2005
Ivana Heinrichová 	20.06.2005
Mária Sitárová 	20.06.2005
Dagmar Kňazeová 	20.06.2005
Milina Jánošková 	20.06.2005
Klaudia Šišková 	20.06.2005
Katarína Krivulčíková 	20.06.2005
Júlia Podobová 	20.06.2005
Iveta Slebodníková 	20.06.2005
Denisa Novotná-Mlinárcsiková 	20.06.2005
Agáta Burkušová 	20.06.2005
Dana Ferková 	20.06.2005
Alena Miková 	20.06.2005
Lenka Saloková 	20.06.2005
Marek Kotora 	20.06.2005
Slavomír Harmóci 	20.06.2005
Stanislava Semanová 	20.06.2005
Júlia Weiserová 	20.06.2005
Eva Farkašová 	20.06.2005
Katarína Vorobelová 	20.06.2005
Mariana Gavalierová 	20.06.2005
Markéta Marečková 	20.06.2005
Iveta Gildeinová 	20.06.2005
Marián Vorobel 	20.06.2005
Erika Bebčáková 	20.06.2005
Eva Kužmová 	20.06.2005
Janka Majerčíková 	20.06.2005
Adriana Obtulovičová 	20.06.2005
Martin Kollár 	20.06.2005
Tibor Gál 	20.06.2005
Tatiana Kovácsová 	20.06.2005
Renáta Šulajová 	20.06.2005
Zlatica Dolinská 	20.06.2005
Daniela Ellen Rajňáková 	20.06.2005
Zuzana Korčeková 	20.06.2005
Patrik Števík 	20.06.2005
Oľga Nižňanská 	20.06.2005
Silvia Walterová 	20.06.2005
Roman Bolebruch 	20.06.2005
Danica Veselovská 	20.06.2005
Renáta Nemčeková 	20.06.2005
Miroslav Gavalec 	20.06.2005
Ján Hrubala	02.05.2005
Ján Stanček	18.03.2005
Martin Smolko	18.03.2005
Denis Vékony	18.03.2005
Jana Jarošová	18.03.2005
Ľubomír Bušík	18.03.2005
Ladislav Bujňák	18.03.2005
Miron Čiževský	18.03.2005
Martin Michalanský	18.03.2005
Marek Kohút	18.03.2005
Ivana Štiftová	18.03.2005
Miroslav Manďák	18.03.2005
Božena Michaláčová	18.03.2005
Ingrid Šimonová	18.03.2005
Miroslava Maláriková	18.03.2005
Monika Bellová	18.03.2005
Želmíra Šebová	18.03.2005
Ivan Bartek	18.03.2005
Daniela Bergerová	18.03.2005
Mariana Harvancová	18.03.2005
Mgr. Andrea Poláková	11.01.2005
Mgr. Maroš Fekete	11.01.2005
JUDr. Paulína Pacherová	11.01.2005
JUDr. Zuzana Kučerová	11.01.2005
JUDr. Paulína Pacherová	11.01.2005
JUDr. Milan Straka	11.01.2005
JUDr. Michal Fiala	11.01.2005
JUDr. Daniel Jakubovič	11.01.2005
JUDr. Ružena Sabová	29.10.2004
JUDr. Michal Antala	29.10.2004
JUDr. Monika Jankovská	29.10.2004
JUDr. Ľubica Balalová	29.10.2004
Mgr. Ivana Šlesarová	29.10.2004
JUDr. Elena Lámerová	29.10.2004
JUDr. Kristína Glezgová	29.10.2004
Mgr.Zuzana Bajlová	29.10.2004
Mgr. Miroslav Šepták	29.10.2004
JUDr. Daniel Béreš	29.10.2004
Mgr. Janette Nôtová	29.10.2004
Mgr. Katarína Beniačová	29.10.2004
JUDr. Petra Kormuthová	29.10.2004
JUDr. Ján Bernát	29.10.2004
JUDr. Soňa Vacková	29.10.2004
JUDr. Alena Motyčková	29.10.2004
Mgr. Jozef Mikluš	29.10.2004
JUDr. Beáta Oreničová	29.10.2004
JUDr. Slávka Petrovičová	29.10.2004
Mgr. Danka Majdáková	29.10.2004
Mgr. Anna Vargová	29.10.2004
JUDr. Monika Halkociová	29.10.2004
Mgr.Vlastimil Pavlikovský	29.10.2004
JUDr. Ildikó Vekrbauerová	16.09.2004
JUDr. Oľga Mičietová	16.09.2004
Mgr. Viera Petrová	16.09.2004
JUDr. Branislav Lečko	16.09.2004
JUDr. Iveta Sýkorová	16.09.2004
JUDr. Vladimír Kozáčik	16.09.2004
JUDr. Rastislav Stieranka	16.09.2004
JUDr. Jana Veselá	16.09.2004
Mgr. Erika Dodulíková	16.09.2004
Mgr. Patrícia Kepeňová	01.07.2004
Mgr. Róbert Matulák	01.07.2004
JUDr. Jana Černá	01.07.2004
Mgr. Milena Fegyesová	01.07.2004
JUDr. Alica Gálová	01.07.2004
JUDr. Mário Buksa	01.07.2004
Mgr. Dana Wänkeová	01.07.2004
JUDr. Ivan Pavlovič	01.07.2004
JUDr. Jana Vlčková	01.07.2004
JUDr. Dana Macášková	01.07.2004
Mgr. Monika Šablová	01.07.2004
JUDr. Mária Kubusová	01.07.2004
JUDr. Myrtill Vojteková	01.07.2004
Mgr. Katarína Arnouldová	01.07.2004
Mgr. Božena Csibrányiová	01.07.2004
JUDr. Elena Šuríková-Korošíková	01.07.2004
Mgr. Renáta Gavalcová	01.07.2004
Mgr. Andrea Mrvová	01.07.2004
