meno	datum menovania	typ menovania
JUDr. Renáta Deáková 	12.12.1996	4 - ročný mandát
JUDr. Renáta Deáková 	6.12.2000	bez obmedzenia
Mgr. Marian Degma 	26.3.1998	4 - ročný mandát
por. Mgr. Pavol Dekánek 	1.2.1996	n/a
kpt. Mgr. Pavol Dekánek 	21.1.2000	bez obmedzenia
JUDr. Andrea Dinajová 	12.12.1996	bez obmedzenia
JUDr. Irena Dobňaková 	8.7.1998	bez obmedzenia
Mgr. Darina Dobošová 	26.3.1998	4 - ročný mandát
JUDr. Ľubomír Dobrík 	19.5.1998	bez obmedzenia
JUDr. Ján Dorkin 	12.12.1996	bez obmedzenia
JUDr. Viera Dubovinská 	1.7.1996	n/a
JUDr. Viera Dubovinská 	15.6.2000	bez obmedzenia
JUDr. Gabriela Dúbravková 	26.3.1998	4 - ročný mandát
Mgr. Helena Dudzíková 	12.12.1996	4 - ročný mandát
JUDr. Helena Dudzíková 	6.12.2000	bez obmedzenia
Mgr. Ivana Dufalová 	1.2.1996	n/a
Mgr. Ivana Dufalová 	21.1.2000	bez obmedzenia
JUDr. Stanislav Dutko 	19.5.1998	bez obmedzenia
JUDr. Dušan Ecker 	12.12.1996	4 - ročný mandát
JUDr. Dušan Ecker 	6.12.2000	bez obmedzenia
Mgr. Martina Faithová 	20.3.1996	n/a
Mgr. Martina Faithová 	14.3.2000	bez obmedzenia
Mgr. Beáta Farkašová 	20.3.1996	n/a
Mgr. Beata Farkašová 	14.3.2000	bez obmedzenia
JUDr. Iveta Farkašovská 	12.12.1996	bez obmedzenia
Mgr. Milena Fegyesová 	9.5.2000	4 - ročný mandát
Mgr. Maroš Fekete 	6.12.2000	4 - ročný mandát
Mgr. Ivan FIAČAN 	10.5.1995	n/a
Mgr. Ľubica Fialová 	1.7.1996	n/a
JUDr. Jana Fígerová 	8.7.1998	bez obmedzenia
JUDr. Martin Fiľakovský 	8.7.1998	bez obmedzenia
JUDr. Ľubica Filová 	1.2.1996	n/a
JUDr. Ľubica Filová 	21.1.2000	bez obmedzenia
Máriu Filovú 	11.2.1997	4 - ročný mandát
JUDr. Roman Fitt 	8.7.1998	bez obmedzenia
Mgr. Gabriel Frankovič 	8.7.1998	bez obmedzenia
JUDr. Gabriela Fuchsová 	8.7.1998	bez obmedzenia
JUDr. Ladislav Gábor 	8.7.1998	bez obmedzenia
Mgr. Peter Garaj 	21.1.2000	bez obmedzenia
JUDr. Soňa Gašková 	1.7.1996	n/a
JUDr. Soňa Gašková 	15.6.2000	bez obmedzenia
Mgr. Renátu Gavalcovú 	17.10.2000	bez obmedzenia
Mgr. Juraj Gavalec 	12.12.1996	4 - ročný mandát
JUDr. Mária Gazdačková 	19.5.1998	bez obmedzenia
JUDr. Kristína Glezgová 	6.12.2000	4 - ročný mandát
Mgr. Richard Golis 	8.7.1998	bez obmedzenia
Mgr. Monika GREŠKOVÁ 	13.9.1995	n/a
JUDr. Jarmila Gulová 	8.7.1998	bez obmedzenia
Mgr. Adriana Halajová 	12.12.1996	4 - ročný mandát
Mgr. Adriana Halajová 	6.12.2000	bez obmedzenia
Mgr. Jana Halušková 	20.3.1996	n/a
Mgr. Jana Halušková 	14.3.2000	bez obmedzenia
Mgr. Ivica Hanusková 	21.1.2000	bez obmedzenia
Mgr. Ivica Hanúsková 	1.2.1996	n/a
JUDr. Jana HANZLÍKOVÁ 	10.5.1995	n/a
JUDr. Kamila Haverlová 	12.12.1996	bez obmedzenia
Mgr. Peter Heinrich 	26.3.1998	4 - ročný mandát
JUDr. Mária Hirjaková 	19.5.1998	bez obmedzenia
Mgr. Mária HLAVÁČOVÁ 	10.5.1995	n/a
Mgr. Emília Horňáková 	1.2.1996	n/a
Mgr. Emília Horňáková 	21.1.2000	bez obmedzenia
Mgr. Ivica Hovorková 	19.5.1998	bez obmedzenia
Mgr. Vladimíra HREBÍKOVÁ 	10.5.1995	n/a
Mgr. Bohuš Hruška 	1.7.1996	n/a
Mgr. Bohuš Hruška 	15.6.2000	bez obmedzenia
Mgr. Martina Hrušková 	8.7.1998	bez obmedzenia
JUDr. Jana Hullová 	12.12.1996	bez obmedzenia
Mgr. Milan Hupka 	12.12.1996	4 - ročný mandát
Mgr. Milan Hupka 	6.12.2000	bez obmedzenia
JUDr. Božena Husárová 	19.5.1998	bez obmedzenia
Mgr. Roman Huszár 	12.12.1996	4 - ročný mandát
Mgr. Roman Huszár 	6.12.2000	bez obmedzenia
Mgr. Jarmila Chocholáčková 	12.12.1996	bez obmedzenia
JUDr. Gabriela Janáková 	26.3.1998	4 - ročný mandát
Mgr. Moniku Jankovskú 	17.10.2000	bez obmedzenia
JUDr. Marián Jarábek 	12.12.1996	bez obmedzenia
JUDr. Jana Jedináková 	8.7.1998	bez obmedzenia
Evu Jombíkovú 	11.2.1997	bez obmedzenia
JUDr. Beáta Jurgošová 	8.7.1998	bez obmedzenia
JUDr. Milan Jurko 	8.7.1998	bez obmedzenia
